ZIP_5,STATE,location,Latitude,Longitude,distance_to_hospital
27212,NC,"Blanch, NC 27212, USA",36.4522626,-79.3127543,37.191659467694784
27537,NC,"Henderson, NC 27537, USA",36.3715036,-78.4524591,36.95646956825634
27377,NC,"Whitsett, NC 27377, USA",36.0373556,-79.59405439999999,36.743361379686235
27582,NC,"Stovall, NC 27582, USA",36.4454407,-78.5675047,36.64385987411285
27597,NC,"Zebulon, NC 27597, USA",35.8434853,-78.3159411,36.57305819004699
27591,NC,"Eagle Rock, NC 27591, USA",35.7618435,-78.36146719999999,36.43227198778366
27528,NC,"Clayton, NC 27528, USA",35.65,-78.45999990000001,36.394663133840176
27343,NC,"Semora, NC 27343, USA",36.5171992,-79.08710049999999,36.215178471455104
27331,NC,"Sanford, NC 27331, USA",35.5241174,-79.1379448,35.21037179954873
27244,NC,"Elon, NC 27244, USA",36.2229011,-79.5041322,34.96052985832343
